strategy,signal_date,entry_date,exit_date,hold_days,rebalance_step,selected_count,symbol,name,industry,is_bs_candidate,sort_col,rank_score,score,score_liq_breakout_adj,liquidity_detail_score,s_breakout,s_liquidity,s_relative_amount,s_amount_ratio_5_20,s_low_impact_cost,s_amount_stability,bs_score_v2,bs_consensus_score,bs_model_rank_score,bs_model_prob,bs_model_expected_mdd,pool_type,bs_gate_label,entry_open,exit_close,gross_ret
baseline_full_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,688510,航亚科技,,0,score_liq_breakout_adj,79.61,79.61,79.61,70.94927329306242,99.67,24.07,93.35529928610653,54.76844224784917,69.88833974006955,14.863628043199705,73.05,,,,,,,43.74,39.59,-0.09487882944673065
baseline_full_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,300739,明阳电路,,0,score_liq_breakout_adj,79.56,79.56,79.56,84.14823357129782,99.23,22.7,98.02306425041186,94.19732747574592,78.03404722679846,84.42247849167124,70.82,,,,,,,22.96,29.94,0.3040069686411151
baseline_full_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,300766,每日互动,,0,liquidity_detail_score,94.3737360424675,72.67,72.67,94.3737360424675,98.72,29.08,94.60003660992129,93.31868936481786,96.44883763499908,82.15266337177376,67.29,,,,,,,46.44,43.62,-0.060723514211886265
baseline_full_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,603667,五洲新春,,0,liquidity_detail_score,93.66567819879187,60.85,60.85000000000001,93.66567819879187,49.09,29.65,88.39465495149186,86.43602416254805,96.52205747757642,90.09701629141497,49.62,,,,,,,90.4,72.05,-0.2029867256637169
baseline_full_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,688521,芯原股份,,0,liquidity_detail_score,93.57806333516382,67.03,67.03,93.57806333516382,98.97,29.69,90.60955518945634,87.07669778509977,97.82170968332417,81.34724510342302,64.93,,,,,,,285.0,230.58,-0.19094736842105253
baseline_full_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,300251,光线传媒,,0,liquidity_detail_score,92.96711696869852,61.02,61.02000000000001,92.96711696869852,49.09,29.54,99.06644700713893,99.59729086582463,97.80340472267984,41.57056562328391,54.31,,,,,,,23.14,17.28,-0.25324114088159033
baseline_full_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,601869,长飞光纤,,0,liquidity_detail_score,92.54827018121911,54.74,54.74000000000001,92.54827018121911,49.09,29.3,88.50448471535786,89.54786747208493,95.69833424858136,79.93776313380926,57.71,,,,,,,228.0,211.91,-0.07057017543859656
liq_top_10_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,score,78.8,78.8,78.8,85.71824272377815,99.08,28.64,95.8264689730917,81.56690463115504,93.3369943254622,21.306974190005494,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq_top_10_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,002498,汉缆股份,,0,score,77.01,77.01,77.01,76.98146073585943,99.34,28.08,90.46311550430165,51.45524437122461,91.12209408749771,0.6223686619073768,63.41,,,,,,,7.1,9.96,0.40281690140845083
liq_top_10_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,002008,大族激光,,1,score,76.85,76.85,76.85,84.46961742632254,98.77,28.53,95.46036976020501,72.43272926963206,94.2339373970346,23.375434742815305,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
liq_top_10_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,002378,章源钨业,,0,score,76.12,76.12,76.12,89.95510891451585,98.24,28.89,96.41222771371042,87.22313747025444,97.03459637561778,45.14003294892916,70.17,,,,,,,31.92,44.91,0.40695488721804485
liq_top_20_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,603533,掌阅科技,,0,score,81.25,81.25,81.25,80.4987808896211,99.86,24.26,99.72542559033498,87.80889621087314,96.83324180853012,5.107084019769357,67.17,,,,,,,35.83,27.42,-0.23471950879151537
liq_top_20_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,688702,盛科通信-U,,0,score,79.72,79.72,79.72,86.3398352553542,99.86,26.53,97.76679480139117,92.14717188358044,80.65165659893832,54.93318689364818,64.78,,,,,,,190.0,192.03,0.010684210526315852
liq_top_20_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,score,79.71,79.71,79.71,80.88840563792786,98.57,26.79,93.79461834157057,67.54530477759472,94.1790225151016,21.508328757093174,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq_top_20_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,688510,航亚科技,,0,score,79.61,79.61,79.61,70.94927329306242,99.67,24.07,93.35529928610653,54.76844224784917,69.88833974006955,14.863628043199705,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq_top_20_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,score,78.8,78.8,78.8,85.71824272377815,99.08,28.64,95.8264689730917,81.56690463115504,93.3369943254622,21.306974190005494,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq_top_30_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,603533,掌阅科技,,0,score,81.25,81.25,81.25,80.4987808896211,99.86,24.26,99.72542559033498,87.80889621087314,96.83324180853012,5.107084019769357,67.17,,,,,,,35.83,27.42,-0.23471950879151537
liq_top_30_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,688702,盛科通信-U,,0,score,79.72,79.72,79.72,86.3398352553542,99.86,26.53,97.76679480139117,92.14717188358044,80.65165659893832,54.93318689364818,64.78,,,,,,,190.0,192.03,0.010684210526315852
liq_top_30_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,score,79.71,79.71,79.71,80.88840563792786,98.57,26.79,93.79461834157057,67.54530477759472,94.1790225151016,21.508328757093174,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq_top_30_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,688510,航亚科技,,0,score,79.61,79.61,79.61,70.94927329306242,99.67,24.07,93.35529928610653,54.76844224784917,69.88833974006955,14.863628043199705,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq_top_30_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,300739,明阳电路,,0,score,79.56,79.56,79.56,84.14823357129782,99.23,22.7,98.02306425041186,94.19732747574592,78.03404722679846,84.42247849167124,70.82,,,,,,,22.96,29.94,0.3040069686411151
liq_top_10_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,score_liq_breakout_adj,78.8,78.8,78.8,85.71824272377815,99.08,28.64,95.8264689730917,81.56690463115504,93.3369943254622,21.306974190005494,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq_top_10_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,002498,汉缆股份,,0,score_liq_breakout_adj,77.01,77.01,77.01,76.98146073585943,99.34,28.08,90.46311550430165,51.45524437122461,91.12209408749771,0.6223686619073768,63.41,,,,,,,7.1,9.96,0.40281690140845083
liq_top_10_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,002008,大族激光,,1,score_liq_breakout_adj,76.85,76.85,76.85,84.46961742632254,98.77,28.53,95.46036976020501,72.43272926963206,94.2339373970346,23.375434742815305,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
liq_top_10_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,002378,章源钨业,,0,score_liq_breakout_adj,76.12,76.12,76.12,89.95510891451585,98.24,28.89,96.41222771371042,87.22313747025444,97.03459637561778,45.14003294892916,70.17,,,,,,,31.92,44.91,0.40695488721804485
liq_top_20_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,603533,掌阅科技,,0,score_liq_breakout_adj,81.25,81.25,81.25,80.4987808896211,99.86,24.26,99.72542559033498,87.80889621087314,96.83324180853012,5.107084019769357,67.17,,,,,,,35.83,27.42,-0.23471950879151537
liq_top_20_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,688702,盛科通信-U,,0,score_liq_breakout_adj,79.72,79.72,79.72,86.3398352553542,99.86,26.53,97.76679480139117,92.14717188358044,80.65165659893832,54.93318689364818,64.78,,,,,,,190.0,192.03,0.010684210526315852
liq_top_20_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,score_liq_breakout_adj,79.71,79.71,79.71,80.88840563792786,98.57,26.79,93.79461834157057,67.54530477759472,94.1790225151016,21.508328757093174,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq_top_20_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,688510,航亚科技,,0,score_liq_breakout_adj,79.61,79.61,79.61,70.94927329306242,99.67,24.07,93.35529928610653,54.76844224784917,69.88833974006955,14.863628043199705,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq_top_20_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,score_liq_breakout_adj,78.8,78.8,78.8,85.71824272377815,99.08,28.64,95.8264689730917,81.56690463115504,93.3369943254622,21.306974190005494,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq_top_30_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,603533,掌阅科技,,0,score_liq_breakout_adj,81.25,81.25,81.25,80.4987808896211,99.86,24.26,99.72542559033498,87.80889621087314,96.83324180853012,5.107084019769357,67.17,,,,,,,35.83,27.42,-0.23471950879151537
liq_top_30_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,688702,盛科通信-U,,0,score_liq_breakout_adj,79.72,79.72,79.72,86.3398352553542,99.86,26.53,97.76679480139117,92.14717188358044,80.65165659893832,54.93318689364818,64.78,,,,,,,190.0,192.03,0.010684210526315852
liq_top_30_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,score_liq_breakout_adj,79.71,79.71,79.71,80.88840563792786,98.57,26.79,93.79461834157057,67.54530477759472,94.1790225151016,21.508328757093174,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq_top_30_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,688510,航亚科技,,0,score_liq_breakout_adj,79.61,79.61,79.61,70.94927329306242,99.67,24.07,93.35529928610653,54.76844224784917,69.88833974006955,14.863628043199705,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq_top_30_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,300739,明阳电路,,0,score_liq_breakout_adj,79.56,79.56,79.56,84.14823357129782,99.23,22.7,98.02306425041186,94.19732747574592,78.03404722679846,84.42247849167124,70.82,,,,,,,22.96,29.94,0.3040069686411151
liq_top_10_then_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,300766,每日互动,,0,liquidity_detail_score,94.3737360424675,72.67,72.67,94.3737360424675,98.72,29.08,94.60003660992129,93.31868936481786,96.44883763499908,82.15266337177376,67.29,,,,,,,46.44,43.62,-0.060723514211886265
liq_top_10_then_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,603667,五洲新春,,0,liquidity_detail_score,93.66567819879187,60.85,60.85000000000001,93.66567819879187,49.09,29.65,88.39465495149186,86.43602416254805,96.52205747757642,90.09701629141497,49.62,,,,,,,90.4,72.05,-0.2029867256637169
liq_top_10_then_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,688521,芯原股份,,0,liquidity_detail_score,93.57806333516382,67.03,67.03,93.57806333516382,98.97,29.69,90.60955518945634,87.07669778509977,97.82170968332417,81.34724510342302,64.93,,,,,,,285.0,230.58,-0.19094736842105253
liq_top_10_then_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,300251,光线传媒,,0,liquidity_detail_score,92.96711696869852,61.02,61.02000000000001,92.96711696869852,49.09,29.54,99.06644700713893,99.59729086582463,97.80340472267984,41.57056562328391,54.31,,,,,,,23.14,17.28,-0.25324114088159033
liq_top_10_then_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,601869,长飞光纤,,0,liquidity_detail_score,92.54827018121911,54.74,54.74000000000001,92.54827018121911,49.09,29.3,88.50448471535786,89.54786747208493,95.69833424858136,79.93776313380926,57.71,,,,,,,228.0,211.91,-0.07057017543859656
liq_top_20_then_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,300766,每日互动,,0,liquidity_detail_score,94.3737360424675,72.67,72.67,94.3737360424675,98.72,29.08,94.60003660992129,93.31868936481786,96.44883763499908,82.15266337177376,67.29,,,,,,,46.44,43.62,-0.060723514211886265
liq_top_20_then_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,603667,五洲新春,,0,liquidity_detail_score,93.66567819879187,60.85,60.85000000000001,93.66567819879187,49.09,29.65,88.39465495149186,86.43602416254805,96.52205747757642,90.09701629141497,49.62,,,,,,,90.4,72.05,-0.2029867256637169
liq_top_20_then_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,688521,芯原股份,,0,liquidity_detail_score,93.57806333516382,67.03,67.03,93.57806333516382,98.97,29.69,90.60955518945634,87.07669778509977,97.82170968332417,81.34724510342302,64.93,,,,,,,285.0,230.58,-0.19094736842105253
liq_top_20_then_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,300251,光线传媒,,0,liquidity_detail_score,92.96711696869852,61.02,61.02000000000001,92.96711696869852,49.09,29.54,99.06644700713893,99.59729086582463,97.80340472267984,41.57056562328391,54.31,,,,,,,23.14,17.28,-0.25324114088159033
liq_top_20_then_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,601869,长飞光纤,,0,liquidity_detail_score,92.54827018121911,54.74,54.74000000000001,92.54827018121911,49.09,29.3,88.50448471535786,89.54786747208493,95.69833424858136,79.93776313380926,57.71,,,,,,,228.0,211.91,-0.07057017543859656
liq_top_30_then_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,300766,每日互动,,0,liquidity_detail_score,94.3737360424675,72.67,72.67,94.3737360424675,98.72,29.08,94.60003660992129,93.31868936481786,96.44883763499908,82.15266337177376,67.29,,,,,,,46.44,43.62,-0.060723514211886265
liq_top_30_then_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,603667,五洲新春,,0,liquidity_detail_score,93.66567819879187,60.85,60.85000000000001,93.66567819879187,49.09,29.65,88.39465495149186,86.43602416254805,96.52205747757642,90.09701629141497,49.62,,,,,,,90.4,72.05,-0.2029867256637169
liq_top_30_then_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,688521,芯原股份,,0,liquidity_detail_score,93.57806333516382,67.03,67.03,93.57806333516382,98.97,29.69,90.60955518945634,87.07669778509977,97.82170968332417,81.34724510342302,64.93,,,,,,,285.0,230.58,-0.19094736842105253
liq_top_30_then_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,300251,光线传媒,,0,liquidity_detail_score,92.96711696869852,61.02,61.02000000000001,92.96711696869852,49.09,29.54,99.06644700713893,99.59729086582463,97.80340472267984,41.57056562328391,54.31,,,,,,,23.14,17.28,-0.25324114088159033
liq_top_30_then_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,601869,长飞光纤,,0,liquidity_detail_score,92.54827018121911,54.74,54.74000000000001,92.54827018121911,49.09,29.3,88.50448471535786,89.54786747208493,95.69833424858136,79.93776313380926,57.71,,,,,,,228.0,211.91,-0.07057017543859656
liq_top_20_then_bs_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,bs_score_v2,73.78,78.8,78.8,85.71824272377815,99.08,28.64,95.8264689730917,81.56690463115504,93.3369943254622,21.306974190005494,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq_top_20_then_bs_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,688510,航亚科技,,0,bs_score_v2,73.05,79.61,79.61,70.94927329306242,99.67,24.07,93.35529928610653,54.76844224784917,69.88833974006955,14.863628043199705,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq_top_20_then_bs_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,bs_score_v2,72.05,79.71,79.71,80.88840563792786,98.57,26.79,93.79461834157057,67.54530477759472,94.1790225151016,21.508328757093174,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq_top_20_then_bs_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,002008,大族激光,,1,bs_score_v2,70.87,76.85,76.85,84.46961742632254,98.77,28.53,95.46036976020501,72.43272926963206,94.2339373970346,23.375434742815305,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
tiered_liquidity_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,score,79.71,79.71,79.71,80.88840563792786,98.57,26.79,93.79461834157057,67.54530477759472,94.1790225151016,21.508328757093174,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
tiered_liquidity_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,score,78.8,78.8,78.8,85.71824272377815,99.08,28.64,95.8264689730917,81.56690463115504,93.3369943254622,21.306974190005494,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
tiered_liquidity_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,002498,汉缆股份,,0,score,77.01,77.01,77.01,76.98146073585943,99.34,28.08,90.46311550430165,51.45524437122461,91.12209408749771,0.6223686619073768,63.41,,,,,,,7.1,9.96,0.40281690140845083
tiered_liquidity_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,002008,大族激光,,1,score,76.85,76.85,76.85,84.46961742632254,98.77,28.53,95.46036976020501,72.43272926963206,94.2339373970346,23.375434742815305,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
tiered_liquidity_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,score_liq_breakout_adj,79.71,79.71,79.71,80.88840563792786,98.57,26.79,93.79461834157057,67.54530477759472,94.1790225151016,21.508328757093174,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
tiered_liquidity_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,score_liq_breakout_adj,78.8,78.8,78.8,85.71824272377815,99.08,28.64,95.8264689730917,81.56690463115504,93.3369943254622,21.306974190005494,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
tiered_liquidity_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,002498,汉缆股份,,0,score_liq_breakout_adj,77.01,77.01,77.01,76.98146073585943,99.34,28.08,90.46311550430165,51.45524437122461,91.12209408749771,0.6223686619073768,63.41,,,,,,,7.1,9.96,0.40281690140845083
tiered_liquidity_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,002008,大族激光,,1,score_liq_breakout_adj,76.85,76.85,76.85,84.46961742632254,98.77,28.53,95.46036976020501,72.43272926963206,94.2339373970346,23.375434742815305,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
tiered_liquidity_then_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,300766,每日互动,,0,liquidity_detail_score,94.3737360424675,72.67,72.67,94.3737360424675,98.72,29.08,94.60003660992129,93.31868936481786,96.44883763499908,82.15266337177376,67.29,,,,,,,46.44,43.62,-0.060723514211886265
tiered_liquidity_then_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,603667,五洲新春,,0,liquidity_detail_score,93.66567819879187,60.85,60.85000000000001,93.66567819879187,49.09,29.65,88.39465495149186,86.43602416254805,96.52205747757642,90.09701629141497,49.62,,,,,,,90.4,72.05,-0.2029867256637169
tiered_liquidity_then_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,688521,芯原股份,,0,liquidity_detail_score,93.57806333516382,67.03,67.03,93.57806333516382,98.97,29.69,90.60955518945634,87.07669778509977,97.82170968332417,81.34724510342302,64.93,,,,,,,285.0,230.58,-0.19094736842105253
tiered_liquidity_then_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,300251,光线传媒,,0,liquidity_detail_score,92.96711696869852,61.02,61.02000000000001,92.96711696869852,49.09,29.54,99.06644700713893,99.59729086582463,97.80340472267984,41.57056562328391,54.31,,,,,,,23.14,17.28,-0.25324114088159033
tiered_liquidity_then_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,10,10,5,601869,长飞光纤,,0,liquidity_detail_score,92.54827018121911,54.74,54.74000000000001,92.54827018121911,49.09,29.3,88.50448471535786,89.54786747208493,95.69833424858136,79.93776313380926,57.71,,,,,,,228.0,211.91,-0.07057017543859656
tiered_liquidity_then_bs_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,bs_score_v2,73.78,78.8,78.8,85.71824272377815,99.08,28.64,95.8264689730917,81.56690463115504,93.3369943254622,21.306974190005494,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
tiered_liquidity_then_bs_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,bs_score_v2,72.05,79.71,79.71,80.88840563792786,98.57,26.79,93.79461834157057,67.54530477759472,94.1790225151016,21.508328757093174,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
tiered_liquidity_then_bs_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,002008,大族激光,,1,bs_score_v2,70.87,76.85,76.85,84.46961742632254,98.77,28.53,95.46036976020501,72.43272926963206,94.2339373970346,23.375434742815305,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
