strategy,signal_date,entry_date,exit_date,hold_days,rebalance_step,selected_count,max_per_industry,industry_penalty_step,pit_status,risk_note,market_gate,position_mode,symbol,name,industry,industry_key,is_bs_candidate,sort_col,rank_score,score,dynamic_factor_score,score_liq_breakout_adj,liquidity_detail_score,s_breakout,s_liquidity,s_relative_amount,s_amount_ratio_5_20,s_low_impact_cost,s_amount_stability,vol_20,hist_mdd_20,bs_score_v2,bs_consensus_score,bs_model_rank_score,bs_model_prob,bs_model_expected_mdd,pool_type,bs_gate_label,market_amount_ratio_20,market_exposure_scale,position_weight,effective_weight,entry_open,exit_close,gross_ret
baseline_full_liquidity_industry_cap2,2026-01-05,2026-01-06,2026-01-19,10,10,5,2.0,0.0,trusted,uses_signal_date_or_prior_data,0,equal,300274,阳光电源,电气设备,电气设备,0,s_liquidity,29.97,28.35,46.59962612002836,28.35,76.90391639961837,45.1,29.97,32.655432887855895,63.81948479566144,99.55521175788049,59.06625339015885,0.03184294950633097,-0.07618279569892461,39.85,31.46,45.294,0.338858,0.08118,,可买,1.3137043587215775,1.0,0.2,0.2,172.01,172.68,0.003895122376606164
baseline_full_liquidity_industry_penalty_0p10pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.1,trusted,uses_signal_date_or_prior_data,0,equal,300308,中际旭创,通信设备,通信设备,0,s_liquidity,30.0,64.73,85.28975697801843,64.73,75.07923132612864,45.1,30.0,38.620956808057336,25.024210730195623,99.65190485399343,86.53622626888803,0.03704397370304848,-0.02546113801653127,62.57,49.15,36.2975,0.344251,-0.512479,,可买,1.3137043587215775,1.0,0.2,0.2,606.7166,606.216,-0.0008250969233410954
baseline_full_liquidity_industry_penalty_0p10pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.1,trusted,uses_signal_date_or_prior_data,0,equal,300476,胜宏科技,元器件,元器件,0,s_liquidity,29.98,56.78,80.81770128279507,56.78,76.6635492648735,45.1,29.98,64.1293821421654,22.680612047259345,99.16843937342874,55.86981790003874,0.04361637481590781,-0.02531037384815471,63.17,47.44,37.8693,0.293534,-0.210703,,可买,1.3137043587215775,1.0,0.2,0.2,307.8573,277.2607,-0.0993856569261149
baseline_full_liquidity_industry_penalty_0p10pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.1,trusted,uses_signal_date_or_prior_data,0,equal,688256,寒武纪-U,半导体,半导体,0,s_liquidity,29.97,28.88,51.364984206794304,28.88,75.76045655715133,45.1,29.97,28.87855897733876,54.54193298469882,99.32314832720944,69.44982564897326,0.028762510048715193,-0.03203342618384397,45.88,35.15,44.8292,0.305986,0.037488,,可买,1.3137043587215775,1.0,0.2,0.2,1380.0,1419.66,0.0287391304347826
baseline_full_liquidity_industry_penalty_0p10pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.1,trusted,uses_signal_date_or_prior_data,0,equal,300274,阳光电源,电气设备,电气设备,0,s_liquidity,29.97,28.35,46.59962612002836,28.35,76.90391639961837,45.1,29.97,32.655432887855895,63.81948479566144,99.55521175788049,59.06625339015885,0.03184294950633097,-0.07618279569892461,39.85,31.46,45.294,0.338858,0.08118,,可买,1.3137043587215775,1.0,0.2,0.2,172.01,172.68,0.003895122376606164
baseline_full_liquidity_industry_penalty_0p10pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.1,trusted,uses_signal_date_or_prior_data,0,equal,600879,航天电子,航空,航空,0,s_liquidity,29.96,71.21,98.24985496035582,71.21,92.91593336397668,95.17,29.96,79.37245787332947,84.91187294208792,99.28447108876426,94.65323518016274,0.04844428072538434,0.0,67.86,63.58,53.5114,0.382356,-0.0279,,可买,1.3137043587215775,1.0,0.2,0.2,21.3,26.53,0.24553990610328635
baseline_full_liquidity_industry_penalty_0p25pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.25,trusted,uses_signal_date_or_prior_data,0,equal,300308,中际旭创,通信设备,通信设备,0,s_liquidity,30.0,64.73,85.28975697801843,64.73,75.07923132612864,45.1,30.0,38.620956808057336,25.024210730195623,99.65190485399343,86.53622626888803,0.03704397370304848,-0.02546113801653127,62.57,49.15,36.2975,0.344251,-0.512479,,可买,1.3137043587215775,1.0,0.2,0.2,606.7166,606.216,-0.0008250969233410954
baseline_full_liquidity_industry_penalty_0p25pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.25,trusted,uses_signal_date_or_prior_data,0,equal,300476,胜宏科技,元器件,元器件,0,s_liquidity,29.98,56.78,80.81770128279507,56.78,76.6635492648735,45.1,29.98,64.1293821421654,22.680612047259345,99.16843937342874,55.86981790003874,0.04361637481590781,-0.02531037384815471,63.17,47.44,37.8693,0.293534,-0.210703,,可买,1.3137043587215775,1.0,0.2,0.2,307.8573,277.2607,-0.0993856569261149
baseline_full_liquidity_industry_penalty_0p25pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.25,trusted,uses_signal_date_or_prior_data,0,equal,688256,寒武纪-U,半导体,半导体,0,s_liquidity,29.97,28.88,51.364984206794304,28.88,75.76045655715133,45.1,29.97,28.87855897733876,54.54193298469882,99.32314832720944,69.44982564897326,0.028762510048715193,-0.03203342618384397,45.88,35.15,44.8292,0.305986,0.037488,,可买,1.3137043587215775,1.0,0.2,0.2,1380.0,1419.66,0.0287391304347826
baseline_full_liquidity_industry_penalty_0p25pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.25,trusted,uses_signal_date_or_prior_data,0,equal,300274,阳光电源,电气设备,电气设备,0,s_liquidity,29.97,28.35,46.59962612002836,28.35,76.90391639961837,45.1,29.97,32.655432887855895,63.81948479566144,99.55521175788049,59.06625339015885,0.03184294950633097,-0.07618279569892461,39.85,31.46,45.294,0.338858,0.08118,,可买,1.3137043587215775,1.0,0.2,0.2,172.01,172.68,0.003895122376606164
baseline_full_liquidity_industry_penalty_0p25pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.25,trusted,uses_signal_date_or_prior_data,0,equal,600879,航天电子,航空,航空,0,s_liquidity,29.96,71.21,98.24985496035582,71.21,92.91593336397668,95.17,29.96,79.37245787332947,84.91187294208792,99.28447108876426,94.65323518016274,0.04844428072538434,0.0,67.86,63.58,53.5114,0.382356,-0.0279,,可买,1.3137043587215775,1.0,0.2,0.2,21.3,26.53,0.24553990610328635
baseline_full_liquidity_industry_penalty_0p50pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.5,trusted,uses_signal_date_or_prior_data,0,equal,300308,中际旭创,通信设备,通信设备,0,s_liquidity,30.0,64.73,85.28975697801843,64.73,75.07923132612864,45.1,30.0,38.620956808057336,25.024210730195623,99.65190485399343,86.53622626888803,0.03704397370304848,-0.02546113801653127,62.57,49.15,36.2975,0.344251,-0.512479,,可买,1.3137043587215775,1.0,0.2,0.2,606.7166,606.216,-0.0008250969233410954
baseline_full_liquidity_industry_penalty_0p50pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.5,trusted,uses_signal_date_or_prior_data,0,equal,300476,胜宏科技,元器件,元器件,0,s_liquidity,29.98,56.78,80.81770128279507,56.78,76.6635492648735,45.1,29.98,64.1293821421654,22.680612047259345,99.16843937342874,55.86981790003874,0.04361637481590781,-0.02531037384815471,63.17,47.44,37.8693,0.293534,-0.210703,,可买,1.3137043587215775,1.0,0.2,0.2,307.8573,277.2607,-0.0993856569261149
baseline_full_liquidity_industry_penalty_0p50pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.5,trusted,uses_signal_date_or_prior_data,0,equal,688256,寒武纪-U,半导体,半导体,0,s_liquidity,29.97,28.88,51.364984206794304,28.88,75.76045655715133,45.1,29.97,28.87855897733876,54.54193298469882,99.32314832720944,69.44982564897326,0.028762510048715193,-0.03203342618384397,45.88,35.15,44.8292,0.305986,0.037488,,可买,1.3137043587215775,1.0,0.2,0.2,1380.0,1419.66,0.0287391304347826
baseline_full_liquidity_industry_penalty_0p50pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.5,trusted,uses_signal_date_or_prior_data,0,equal,300274,阳光电源,电气设备,电气设备,0,s_liquidity,29.97,28.35,46.59962612002836,28.35,76.90391639961837,45.1,29.97,32.655432887855895,63.81948479566144,99.55521175788049,59.06625339015885,0.03184294950633097,-0.07618279569892461,39.85,31.46,45.294,0.338858,0.08118,,可买,1.3137043587215775,1.0,0.2,0.2,172.01,172.68,0.003895122376606164
baseline_full_liquidity_industry_penalty_0p50pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.5,trusted,uses_signal_date_or_prior_data,0,equal,600879,航天电子,航空,航空,0,s_liquidity,29.96,71.21,98.24985496035582,71.21,92.91593336397668,95.17,29.96,79.37245787332947,84.91187294208792,99.28447108876426,94.65323518016274,0.04844428072538434,0.0,67.86,63.58,53.5114,0.382356,-0.0279,,可买,1.3137043587215775,1.0,0.2,0.2,21.3,26.53,0.24553990610328635
baseline_full_liquidity_industry_penalty_1pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,1.0,trusted,uses_signal_date_or_prior_data,0,equal,300308,中际旭创,通信设备,通信设备,0,s_liquidity,30.0,64.73,85.28975697801843,64.73,75.07923132612864,45.1,30.0,38.620956808057336,25.024210730195623,99.65190485399343,86.53622626888803,0.03704397370304848,-0.02546113801653127,62.57,49.15,36.2975,0.344251,-0.512479,,可买,1.3137043587215775,1.0,0.2,0.2,606.7166,606.216,-0.0008250969233410954
baseline_full_liquidity_industry_penalty_1pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,1.0,trusted,uses_signal_date_or_prior_data,0,equal,300476,胜宏科技,元器件,元器件,0,s_liquidity,29.98,56.78,80.81770128279507,56.78,76.6635492648735,45.1,29.98,64.1293821421654,22.680612047259345,99.16843937342874,55.86981790003874,0.04361637481590781,-0.02531037384815471,63.17,47.44,37.8693,0.293534,-0.210703,,可买,1.3137043587215775,1.0,0.2,0.2,307.8573,277.2607,-0.0993856569261149
baseline_full_liquidity_industry_penalty_1pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,1.0,trusted,uses_signal_date_or_prior_data,0,equal,688256,寒武纪-U,半导体,半导体,0,s_liquidity,29.97,28.88,51.364984206794304,28.88,75.76045655715133,45.1,29.97,28.87855897733876,54.54193298469882,99.32314832720944,69.44982564897326,0.028762510048715193,-0.03203342618384397,45.88,35.15,44.8292,0.305986,0.037488,,可买,1.3137043587215775,1.0,0.2,0.2,1380.0,1419.66,0.0287391304347826
baseline_full_liquidity_industry_penalty_1pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,1.0,trusted,uses_signal_date_or_prior_data,0,equal,300274,阳光电源,电气设备,电气设备,0,s_liquidity,29.97,28.35,46.59962612002836,28.35,76.90391639961837,45.1,29.97,32.655432887855895,63.81948479566144,99.55521175788049,59.06625339015885,0.03184294950633097,-0.07618279569892461,39.85,31.46,45.294,0.338858,0.08118,,可买,1.3137043587215775,1.0,0.2,0.2,172.01,172.68,0.003895122376606164
baseline_full_liquidity_industry_penalty_1pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,1.0,trusted,uses_signal_date_or_prior_data,0,equal,600879,航天电子,航空,航空,0,s_liquidity,29.96,71.21,98.24985496035582,71.21,92.91593336397668,95.17,29.96,79.37245787332947,84.91187294208792,99.28447108876426,94.65323518016274,0.04844428072538434,0.0,67.86,63.58,53.5114,0.382356,-0.0279,,可买,1.3137043587215775,1.0,0.2,0.2,21.3,26.53,0.24553990610328635
baseline_full_liquidity_industry_penalty_2pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,2.0,trusted,uses_signal_date_or_prior_data,0,equal,300308,中际旭创,通信设备,通信设备,0,s_liquidity,30.0,64.73,85.28975697801843,64.73,75.07923132612864,45.1,30.0,38.620956808057336,25.024210730195623,99.65190485399343,86.53622626888803,0.03704397370304848,-0.02546113801653127,62.57,49.15,36.2975,0.344251,-0.512479,,可买,1.3137043587215775,1.0,0.2,0.2,606.7166,606.216,-0.0008250969233410954
baseline_full_liquidity_industry_penalty_2pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,2.0,trusted,uses_signal_date_or_prior_data,0,equal,300476,胜宏科技,元器件,元器件,0,s_liquidity,29.98,56.78,80.81770128279507,56.78,76.6635492648735,45.1,29.98,64.1293821421654,22.680612047259345,99.16843937342874,55.86981790003874,0.04361637481590781,-0.02531037384815471,63.17,47.44,37.8693,0.293534,-0.210703,,可买,1.3137043587215775,1.0,0.2,0.2,307.8573,277.2607,-0.0993856569261149
baseline_full_liquidity_industry_penalty_2pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,2.0,trusted,uses_signal_date_or_prior_data,0,equal,688256,寒武纪-U,半导体,半导体,0,s_liquidity,29.97,28.88,51.364984206794304,28.88,75.76045655715133,45.1,29.97,28.87855897733876,54.54193298469882,99.32314832720944,69.44982564897326,0.028762510048715193,-0.03203342618384397,45.88,35.15,44.8292,0.305986,0.037488,,可买,1.3137043587215775,1.0,0.2,0.2,1380.0,1419.66,0.0287391304347826
baseline_full_liquidity_industry_penalty_2pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,2.0,trusted,uses_signal_date_or_prior_data,0,equal,300274,阳光电源,电气设备,电气设备,0,s_liquidity,29.97,28.35,46.59962612002836,28.35,76.90391639961837,45.1,29.97,32.655432887855895,63.81948479566144,99.55521175788049,59.06625339015885,0.03184294950633097,-0.07618279569892461,39.85,31.46,45.294,0.338858,0.08118,,可买,1.3137043587215775,1.0,0.2,0.2,172.01,172.68,0.003895122376606164
baseline_full_liquidity_industry_penalty_2pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,2.0,trusted,uses_signal_date_or_prior_data,0,equal,600879,航天电子,航空,航空,0,s_liquidity,29.96,71.21,98.24985496035582,71.21,92.91593336397668,95.17,29.96,79.37245787332947,84.91187294208792,99.28447108876426,94.65323518016274,0.04844428072538434,0.0,67.86,63.58,53.5114,0.382356,-0.0279,,可买,1.3137043587215775,1.0,0.2,0.2,21.3,26.53,0.24553990610328635
baseline_full_dynamic_factor_industry_cap2,2026-01-05,2026-01-06,2026-01-19,10,10,5,2.0,0.0,trusted,uses_signal_date_or_prior_data,0,equal,300058,蓝色光标,广告包装,广告包装,0,dynamic_factor_score,99.33604074002449,74.5,99.33604074002449,74.5,94.07718569455069,99.27,29.76,98.39240751501065,95.99070307960488,98.25952426996713,55.81170089112747,0.06675734288949493,0.0,51.62,32.2,32.169,0.321067,0.1,,过滤,1.3137043587215775,1.0,0.2,0.2,13.6,16.91,0.2433823529411765
baseline_full_dynamic_factor_industry_cap2,2026-01-05,2026-01-06,2026-01-19,10,10,5,2.0,0.0,trusted,uses_signal_date_or_prior_data,0,equal,603667,五洲新春,机械基件,机械基件,0,dynamic_factor_score,99.20711661187391,78.06,99.20711661187391,78.06,88.55858886382458,99.27,29.3,97.38524113887274,86.3064110013558,96.49970992071167,25.939558310732274,0.05251442124160806,0.0,61.96,42.28,34.5987,0.318478,0.1,,过滤,1.3137043587215775,1.0,0.2,0.2,74.46,89.2,0.19795863550899817
baseline_full_dynamic_factor_industry_cap2,2026-01-05,2026-01-06,2026-01-19,10,10,5,2.0,0.0,trusted,uses_signal_date_or_prior_data,0,equal,601698,中国卫通,电信运营,电信运营,0,dynamic_factor_score,99.1619931670212,72.66,99.1619931670212,72.66,91.541581185934,99.27,29.84,90.39318225837691,95.89386015882239,99.01373041964804,44.40139480821387,0.04739929875859309,0.0,61.28,41.35,34.7418,0.323697,0.1,,过滤,1.3137043587215775,1.0,0.2,0.2,39.98,39.79,-0.004752376188093987
baseline_full_dynamic_factor_industry_cap2,2026-01-05,2026-01-06,2026-01-19,10,10,5,2.0,0.0,trusted,uses_signal_date_or_prior_data,0,equal,300857,协创数据,IT设备,IT设备,0,dynamic_factor_score,98.81712112421837,77.71,98.81712112421837,77.71,93.39587670350895,99.27,28.93,96.33933759442185,93.99573891148557,94.56584799845291,72.70437814800465,0.03403801865449817,0.0,70.7,62.61,51.8576,0.31971,0.1,,可买,1.3137043587215775,1.0,0.2,0.2,261.1514,266.1129,0.018998557924636783
baseline_full_dynamic_factor_industry_cap2,2026-01-05,2026-01-06,2026-01-19,10,10,5,2.0,0.0,trusted,uses_signal_date_or_prior_data,0,equal,300136,信维通信,元器件,元器件,0,dynamic_factor_score,98.68336234126215,70.61,98.68336234126215,70.61,93.54938246576145,98.43,29.84,94.86732519852798,97.23029246562076,98.7429897505318,53.93258426966292,0.059113156757586605,0.0,68.48,62.72,52.8615,0.345692,0.1,,可买,1.3137043587215775,1.0,0.2,0.2,63.5,78.25,0.23228346456692917
liq_top_10_then_score_industry_cap2,2026-01-05,2026-01-06,2026-01-19,10,10,5,2.0,0.0,trusted,uses_signal_date_or_prior_data,0,equal,603667,五洲新春,机械基件,机械基件,0,score,78.06,78.06,99.20711661187391,78.06,88.55858886382458,99.27,29.3,97.38524113887274,86.3064110013558,96.49970992071167,25.939558310732274,0.05251442124160806,0.0,61.96,42.28,34.5987,0.318478,0.1,,过滤,1.3137043587215775,1.0,0.2,0.2,74.46,89.2,0.19795863550899817
liq_top_10_then_score_industry_cap2,2026-01-05,2026-01-06,2026-01-19,10,10,5,2.0,0.0,trusted,uses_signal_date_or_prior_data,0,equal,300857,协创数据,IT设备,IT设备,0,score,77.71,77.71,98.81712112421837,77.71,93.39587670350895,99.27,28.93,96.33933759442185,93.99573891148557,94.56584799845291,72.70437814800465,0.03403801865449817,0.0,70.7,62.61,51.8576,0.31971,0.1,,可买,1.3137043587215775,1.0,0.2,0.2,261.1514,266.1129,0.018998557924636783
liq_top_10_then_score_industry_cap2,2026-01-05,2026-01-06,2026-01-19,10,10,5,2.0,0.0,trusted,uses_signal_date_or_prior_data,0,equal,300442,润泽科技,软件服务,软件服务,0,score,75.84,75.84,96.17578804873332,75.84,83.27482891878778,96.93,28.78,91.86519465427078,68.33236490412551,96.19029201315026,18.500581170089113,0.027987129400830806,0.0,71.21,61.27,49.1256,0.290857,-0.022566,,可买,1.3137043587215775,1.0,0.2,0.2,55.51,76.21,0.37290578274184827
liq_top_10_then_score_industry_cap2,2026-01-05,2026-01-06,2026-01-19,10,10,5,2.0,0.0,trusted,uses_signal_date_or_prior_data,0,equal,688122,西部超导,小金属,小金属,0,score,75.72,75.72,96.24347321601236,75.72,80.57524190817063,94.37,28.96,73.98799147782297,58.899864419910905,95.55211757880487,39.96512979465324,0.03175546496265128,0.0,69.69,62.01,50.7544,0.328738,-0.027847,,可买,1.3137043587215775,1.0,0.2,0.2,79.56,89.99,0.13109602815485166
liq_top_10_then_score_industry_cap2,2026-01-05,2026-01-06,2026-01-19,10,10,5,2.0,0.0,trusted,uses_signal_date_or_prior_data,0,equal,600577,精达股份,电气设备,电气设备,0,score,74.65,74.65,97.0137948817121,74.65,79.27620063157119,97.41,28.46,77.60991671508812,76.58338175479372,88.841616708567,9.938008523827973,0.042466022404920735,0.0,70.3,62.63,52.4367,0.331029,0.022135,,可买,1.3137043587215775,1.0,0.2,0.2,13.07,16.09,0.23106350420811017
liq_top_10_then_score_industry_penalty_5pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,5.0,trusted,uses_signal_date_or_prior_data,0,equal,603667,五洲新春,机械基件,机械基件,0,score,78.06,78.06,99.20711661187391,78.06,88.55858886382458,99.27,29.3,97.38524113887274,86.3064110013558,96.49970992071167,25.939558310732274,0.05251442124160806,0.0,61.96,42.28,34.5987,0.318478,0.1,,过滤,1.3137043587215775,1.0,0.2,0.2,74.46,89.2,0.19795863550899817
liq_top_10_then_score_industry_penalty_5pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,5.0,trusted,uses_signal_date_or_prior_data,0,equal,300857,协创数据,IT设备,IT设备,0,score,77.71,77.71,98.81712112421837,77.71,93.39587670350895,99.27,28.93,96.33933759442185,93.99573891148557,94.56584799845291,72.70437814800465,0.03403801865449817,0.0,70.7,62.61,51.8576,0.31971,0.1,,可买,1.3137043587215775,1.0,0.2,0.2,261.1514,266.1129,0.018998557924636783
liq_top_10_then_score_industry_penalty_5pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,5.0,trusted,uses_signal_date_or_prior_data,0,equal,300442,润泽科技,软件服务,软件服务,0,score,75.84,75.84,96.17578804873332,75.84,83.27482891878778,96.93,28.78,91.86519465427078,68.33236490412551,96.19029201315026,18.500581170089113,0.027987129400830806,0.0,71.21,61.27,49.1256,0.290857,-0.022566,,可买,1.3137043587215775,1.0,0.2,0.2,55.51,76.21,0.37290578274184827
liq_top_10_then_score_industry_penalty_5pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,5.0,trusted,uses_signal_date_or_prior_data,0,equal,688122,西部超导,小金属,小金属,0,score,75.72,75.72,96.24347321601236,75.72,80.57524190817063,94.37,28.96,73.98799147782297,58.899864419910905,95.55211757880487,39.96512979465324,0.03175546496265128,0.0,69.69,62.01,50.7544,0.328738,-0.027847,,可买,1.3137043587215775,1.0,0.2,0.2,79.56,89.99,0.13109602815485166
liq_top_10_then_score_industry_penalty_5pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,5.0,trusted,uses_signal_date_or_prior_data,0,equal,600577,精达股份,电气设备,电气设备,0,score,74.65,74.65,97.0137948817121,74.65,79.27620063157119,97.41,28.46,77.60991671508812,76.58338175479372,88.841616708567,9.938008523827973,0.042466022404920735,0.0,70.3,62.63,52.4367,0.331029,0.022135,,可买,1.3137043587215775,1.0,0.2,0.2,13.07,16.09,0.23106350420811017
liq_top_10_then_score_industry_penalty_10pt,2026-01-05,2026-01-06,2026-01-19,10,10,5,,10.0,trusted,uses_signal_date_or_prior_data,0,equal,603667,五洲新春,机械基件,机械基件,0,score,78.06,78.06,99.20711661187391,78.06,88.55858886382458,99.27,29.3,97.38524113887274,86.3064110013558,96.49970992071167,25.939558310732274,0.05251442124160806,0.0,61.96,42.28,34.5987,0.318478,0.1,,过滤,1.3137043587215775,1.0,0.2,0.2,74.46,89.2,0.19795863550899817
